Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
Samara Oblast,2021,3.37,61.26,4.01,1.16,0.74,0.46,0.53,6.4
Saratov Oblast,2021,2.34,50.31,2.80,0.79,0.51,0.33,0.44,5.1
Ulyanovsk Oblast,2021,2.68,44.90,4.07,0.93,0.65,0.36,0.53,5.5
Kurgan Oblast,2021,2.43,61.53,3.85,0.85,0.47,0.21,0.47,6.2
Sverdlovsk Oblast,2021,4.67,66.79,5.51,1.36,0.88,0.47,0.71,8.1
Khanty–Mansi Autonomous Okrug – Yugra,2021,3.17,59.42,5.91,1.40,1.12,0.46,0.68,7.4
Yamalo-Nenets Autonomous Okrug,2021,3.74,65.84,7.77,1.69,1.64,0.42,0.86,9.1
Chelyabinsk Oblast,2021,3.44,49.62,4.69,1.18,0.66,0.39,0.72,6.3
Tyumen Oblast,2021,3.41,56.81,4.80,1.19,0.67,0.78,0.50,6.6
Altai Republic,2021,2.35,42.54,5.58,0.46,0.48,0.18,0.36,5.6
Tuva Republic,2021,0.69,29.09,2.41,0.27,0.19,0.04,0.07,2.8
Republic of Khakassia,2021,2.71,69.44,3.22,0.87,0.54,0.16,0.60,6.1
Altai Krai,2021,2.32,50.26,4.12,0.63,0.44,0.22,0.38,5.5
Krasnoyarsk Krai,2021,3.57,44.23,4.99,1.28,0.87,0.27,0.62,6.1
Irkutsk Oblast,2021,3.67,59.90,5.49,1.07,0.64,0.42,0.71,7.1
Kemerovo Oblast,2021,2.55,54.90,5.11,0.85,0.70,0.35,0.50,6.3
Novosibirsk Oblast,2021,3.72,53.24,3.93,1.10,0.69,0.71,0.46,6.
Omsk Oblast,2021,2.77,43.55,3.29,1.04,0.54,0.40,0.41,5.
Tomsk Oblast,2021,3.35,54.81,4.62,1.10,0.80,0.47,0.50,6.4
Republic of Buryatia,2021,2.06,38.04,6.11,0.34,0.41,0.27,0.29,5.6
Sakha (Yakutia) Republic,2021,2.49,33.74,6.60,1.01,0.63,0.43,0.28,5.7
Zabaykalsky Krai,2021,2.55,41.11,5.35,0.44,0.33,0.18,0.35,5.5
Kamchatka Krai,2021,4.85,65.65,9.60,2.27,1.71,0.70,0.70,10.1
Primorsky Krai,2021,4.60,53.95,7.07,1.77,1.06,0.78,0.81,8.
Khabarovsk Krai,2021,4.02,64.95,8.99,2.01,1.09,0.85,0.91,9.6
Amur Oblast,2021,3.69,62.70,7.35,1.10,0.78,0.52,0.79,8.2
Magadan Oblast,2021,4.81,65.51,11.52,2.15,1.84,0.33,0.75,10.9
Sakhalin Oblast,2021,5.24,67.50,12.46,2.56,1.50,0.72,0.84,11.7
Jewish Autonomous Oblast,2021,3.01,71.60,8.21,0.92,0.65,0.63,0.83,9.3
Chukotka Autonomous Okrug,2021,3.04,42.55,10.95,1.46,1.68,0.17,0.45,8.5
Belgorod Oblast,2022,2.15,48.07,4.20,1.02,0.56,1.03,0.36,5.3
Bryansk Oblast,2022,2.79,45.56,4.86,1.03,0.66,0.46,1.15,6.1
Vladimir Oblast,2022,4.39,55.20,7.35,1.26,1.00,0.61,1.24,8.1
Voronezh Oblast,2022,2.91,39.12,4.39,1.29,0.81,0.54,0.71,5.5
Ivanovo Oblast,2022,4.05,52.53,6.44,1.13,0.77,0.44,1.54,7.5
Kaluga Oblast,2022,4.22,45.82,6.39,1.53,1.03,0.58,1.07,7.1
Kostroma Oblast,2022,4.21,60.72,7.96,1.14,0.88,0.41,1.33,8.5
Kursk Oblast,2022,2.39,40.99,4.26,1.17,0.75,0.39,0.68,5.5
Lipetsk Oblast,2022,2.73,43.19,4.50,1.08,0.70,0.40,0.76,5.6
Moscow Oblast,2022,6.58,59.38,7.71,2.59,1.57,0.93,1.14,9.4
Oryol Oblast,2022,2.77,40.51,4.43,1.34,0.78,0.44,0.79,5.6
Ryazan Oblast,2022,3.48,51.85,4.84,1.33,0.78,0.74,0.88,6.5
Smolensk Oblast,2022,3.76,53.46,6.91,1.53,1.08,0.52,1.04,7.8
Tambov Oblast,2022,2.12,35.65,3.90,0.78,0.54,0.31,0.61,4.6
Tver Oblast,2022,4.36,52.61,7.48,1.58,1.07,0.56,1.35,8.1
Tula Oblast,2022,3.44,38.35,4.78,1.15,0.81,0.53,0.96,5.8
Yaroslavl Oblast,2022,5.43,56.56,7.88,1.66,1.17,0.74,1.18,8.7
Moscow,2022,5.50,30.69,4.11,2.31,1.04,0.81,0.63,5.6
Republic of Karelia,2022,7.23,67.16,11.55,1.75,1.64,0.97,2.50,11.9
Komi Republic,2022,5.00,71.24,11.80,1.78,1.21,0.57,1.67,11.1
Nenets Autonomous Okrug,2022,7.41,56.25,9.86,1.90,1.12,0.54,1.30,9.7
Vologda Oblast,2022,4.75,58.29,9.31,1.21,0.93,0.52,1.93,9.4
Kaliningrad Oblast,2022,6.48,38.33,5.93,1.85,1.14,1.37,0.91,7.2
Leningrad Oblast,2022,6.65,55.04,8.14,2.01,1.63,1.16,1.23,9.3
Murmansk Oblast,2022,6.04,74.29,8.66,2.25,1.98,1.01,1.56,10.9
Novgorod Oblast,2022,4.42,54.91,6.99,1.35,1.13,0.81,1.26,8.1
Pskov Oblast,2022,4.69,53.92,6.63,1.63,1.04,1.45,0.99,8.
Saint Petersburg,2022,7.28,35.38,4.91,2.54,1.39,1.21,0.92,6.8
Arkhangelsk Oblast,2022,5.99,53.55,9.69,1.82,1.13,0.68,1.73,9.5
Republic of Adygea,2022,1.71,45.51,3.27,0.96,0.58,0.31,0.34,4.7
Republic of Kalmykia,2022,0.98,22.92,4.36,0.27,0.42,0.11,0.30,3.6
Republic of Crimea,2022,4.66,49.51,4.93,2.11,1.15,0.76,0.56,6.6
Krasnodar Krai,2022,4.26,41.16,3.90,2.06,0.95,0.50,0.56,5.6
Astrakhan Oblast,2022,1.96,36.41,4.27,0.71,0.60,0.20,0.50,4.8
Volgograd Oblast,2022,2.43,35.72,3.44,1.13,0.60,0.27,0.58,4.6
Rostov Oblast,2022,2.27,28.65,3.07,1.30,0.67,0.37,0.45,4.1
Sevastopol,2022,5.36,39.01,5.48,2.98,1.34,0.70,0.66,6.6
Republic of Dagestan,2022,0.34,4.93,1.15,0.13,0.31,0.02,0.02,0.9
Republic of Ingushetia,2022,0.04,0.36,0.48,0.01,0.05,0.00,0.02,0.3
Kabardino-Balkar Republic,2022,0.40,6.08,0.79,0.17,0.22,0.02,0.05,0.9
Karachay-Cherkess Republic,2022,0.63,8.46,1.54,0.25,0.23,0.04,0.13,1.4
Republic of North Ossetia-Alania,2022,0.54,5.90,0.83,0.41,0.20,0.04,0.07,1.
Chechen Republic,2022,0.02,1.53,0.10,0.00,0.01,0.02,0.00,0.1
Stavropol Krai,2022,1.74,24.07,2.65,0.90,0.53,0.16,0.44,3.4
Republic of Bashkortostan,2022,2.36,54.07,6.00,0.79,0.63,0.29,0.91,6.7
Mari El Republic,2022,2.48,46.45,6.80,0.71,0.74,0.39,1.23,6.9
Republic of Mordovia,2022,2.00,41.07,5.60,0.69,0.48,0.32,0.61,5.6
Republic of Tatarstan,2022,2.54,50.74,6.77,0.79,0.88,0.45,1.04,7.
Udmurt Republic,2022,3.14,53.31,8.65,0.90,0.81,0.43,1.07,7.9
Chuvash Republic,2022,2.38,39.64,7.24,0.64,0.62,0.30,1.37,6.7
Perm Krai,2022,3.75,52.24,6.24,1.04,0.85,0.45,0.96,7.2
Kirov Oblast,2022,3.98,71.05,8.17,1.24,0.81,0.38,1.31,9.
Nizhny Novgorod Oblast,2022,4.27,49.44,5.78,1.47,0.90,0.84,1.20,7.3
Orenburg Oblast,2022,2.57,46.20,4.71,0.93,0.50,0.24,0.62,5.7
Penza Oblast,2022,2.48,49.57,4.74,0.83,0.55,0.37,1.02,6.
Samara Oblast,2022,3.47,60.51,4.31,1.25,0.81,0.44,0.71,6.5
Saratov Oblast,2022,2.34,41.26,3.11,0.86,0.56,0.37,0.58,4.7
Ulyanovsk Oblast,2022,2.77,45.85,4.37,1.00,0.70,0.56,0.68,5.7
Kurgan Oblast,2022,2.57,63.20,4.38,0.89,0.50,0.27,0.64,6.5
Sverdlovsk Oblast,2022,4.72,67.78,5.92,1.48,0.91,0.56,0.99,8.3
Khanty–Mansi Autonomous Okrug – Yugra,2022,3.11,54.36,6.00,1.38,1.11,0.56,0.83,7.1
Yamalo-Nenets Autonomous Okrug,2022,3.77,65.49,7.90,1.71,1.64,0.47,1.01,9.1
Chelyabinsk Oblast,2022,3.52,50.56,4.94,1.25,0.71,0.48,0.91,6.5
Tyumen Oblast,2022,3.50,58.97,5.27,1.27,0.72,0.97,0.67,6.9
Altai Republic,2022,2.39,43.59,6.15,0.61,0.56,0.26,0.51,6.
Tuva Republic,2022,0.63,21.73,2.62,0.28,0.17,0.06,0.11,2.5
Republic of Khakassia,2022,2.70,70.86,3.94,0.96,0.60,0.22,0.66,6.5
Altai Krai,2022,2.27,54.71,4.42,0.71,0.49,0.29,0.49,5.7
Krasnoyarsk Krai,2022,3.55,44.76,5.36,1.39,0.95,0.31,0.73,6.3
Irkutsk Oblast,2022,3.56,52.77,5.86,1.18,0.69,0.43,0.90,7.
Kemerovo Oblast,2022,2.53,55.58,5.33,0.93,0.75,0.41,0.63,6.4
Novosibirsk Oblast,2022,3.66,52.42,4.22,1.22,0.74,0.80,0.58,6.
Omsk Oblast,2022,2.80,42.86,3.70,1.11,0.58,0.44,0.52,5.1
Tomsk Oblast,2022,3.31,54.27,4.91,1.17,0.83,0.56,0.64,6.5
Republic of Buryatia,2022,1.97,34.16,6.49,0.39,0.41,0.27,0.37,5.6
Sakha (Yakutia) Republic,2022,2.41,35.78,6.85,0.99,0.63,0.57,0.39,5.9
Zabaykalsky Krai,2022,2.53,36.44,6.00,0.48,0.34,0.21,0.45,5.6
Kamchatka Krai,2022,4.79,64.93,9.95,2.35,1.63,1.07,0.92,10.2
Primorsky Krai,2022,4.52,54.53,7.49,1.91,1.01,0.98,1.12,8.2
Khabarovsk Krai,2022,3.86,68.53,8.96,2.05,1.02,0.86,1.24,9.7
Amur Oblast,2022,3.63,64.49,8.04,1.24,0.82,0.49,1.06,8.7
Magadan Oblast,2022,4.57,53.25,11.45,2.19,1.75,0.50,0.94,10.4
Sakhalin Oblast,2022,5.00,66.73,12.51,2.55,1.36,1.02,1.15,11.6
Jewish Autonomous Oblast,2022,2.94,73.36,8.73,0.96,0.64,0.57,1.26,9.5
Chukotka Autonomous Okrug,2022,3.02,47.15,10.77,1.48,1.51,0.16,0.56,8.7
Belgorod Oblast,2023,2.29,48.65,4.03,1.14,0.64,1.20,0.50,5.4
Bryansk Oblast,2023,2.97,45.05,4.97,1.12,0.76,0.50,1.36,6.2
Vladimir Oblast,2023,4.65,58.09,7.22,1.36,1.11,0.89,1.53,8.4
Voronezh Oblast,2023,3.20,42.18,4.55,1.44,0.97,0.68,0.87,5.9
Ivanovo Oblast,2023,4.36,52.42,6.49,1.22,0.88,0.51,1.87,7.6
Kaluga Oblast,2023,4.46,45.65,6.22,1.61,1.11,0.70,1.29,7.2
Kostroma Oblast,2023,4.54,59.90,7.82,1.21,1.00,0.45,1.64,8.5
Kursk Oblast,2023,2.63,42.97,4.37,1.24,0.88,0.50,0.83,5.7
Lipetsk Oblast,2023,3.08,46.34,4.71,1.19,0.83,0.58,0.94,6.
Moscow Oblast,2023,6.94,57.92,7.48,2.77,1.68,1.04,1.36,9.3
Oryol Oblast,2023,3.04,41.80,4.53,1.43,0.89,0.49,0.94,5.8
Ryazan Oblast,2023,3.76,51.45,4.82,1.44,0.88,0.88,1.07,6.6
Smolensk Oblast,2023,4.00,52.87,6.89,1.66,1.19,0.58,1.30,7.9
Tambov Oblast,2023,2.41,36.78,4.06,0.85,0.65,0.39,0.76,4.9
Tver Oblast,2023,4.68,52.02,7.49,1.68,1.17,0.64,1.83,8.2
Tula Oblast,2023,3.70,38.34,4.85,1.27,0.91,0.79,1.17,5.9
Yaroslavl Oblast,2023,5.81,55.61,7.91,1.80,1.29,0.97,1.46,8.8
Moscow,2023,5.65,30.22,3.90,2.50,1.08,1.00,0.74,5.5
Republic of Karelia,2023,7.52,64.36,11.33,1.89,1.76,1.02,2.95,11.7
Komi Republic,2023,5.33,75.41,11.19,1.81,1.25,0.73,2.20,11.1
Nenets Autonomous Okrug,2023,7.21,85.35,9.82,1.96,1.14,0.39,2.01,10.9
Vologda Oblast,2023,5.04,57.65,9.02,1.29,1.00,0.55,2.57,9.3
Kaliningrad Oblast,2023,6.69,33.58,5.86,2.16,1.22,1.46,1.05,6.9
Leningrad Oblast,2023,6.99,57.09,7.91,2.20,1.71,1.62,1.46,9.5
Murmansk Oblast,2023,6.46,73.56,8.36,2.47,2.03,1.12,2.00,10.9
Novgorod Oblast,2023,4.75,56.07,7.12,1.42,1.24,0.96,1.62,8.4
Pskov Oblast,2023,4.96,54.82,6.65,1.76,1.14,1.20,1.21,8.1
Saint Petersburg,2023,7.57,37.17,4.85,2.81,1.46,1.51,1.08,7.
Arkhangelsk Oblast,2023,6.43,55.91,9.44,1.90,1.21,0.85,2.41,9.6
Republic of Adygea,2023,1.91,47.12,3.40,1.10,0.65,0.42,0.43,5.
Republic of Kalmykia,2023,1.04,50.68,4.55,0.30,0.46,0.61,0.32,5.1
Republic of Crimea,2023,4.25,56.44,5.28,2.25,1.30,0.77,0.63,7.1
Krasnodar Krai,2023,4.90,47.78,4.24,2.48,1.10,0.69,0.76,6.4
Astrakhan Oblast,2023,2.07,37.87,4.39,0.76,0.66,0.23,0.60,5.
Volgograd Oblast,2023,2.66,37.32,3.55,1.20,0.69,0.35,0.72,4.8
Rostov Oblast,2023,2.55,32.77,3.36,1.54,0.83,0.64,0.64,4.7
Sevastopol,2023,5.10,37.96,5.27,3.14,1.38,0.57,0.68,6.5
Republic of Dagestan,2023,0.37,5.86,1.10,0.14,0.33,0.13,0.02,1.
Republic of Ingushetia,2023,0.04,0.00,0.52,0.01,0.06,0.00,0.02,0.3
Kabardino-Balkar Republic,2023,0.43,7.07,0.96,0.18,0.26,0.02,0.08,1.
Karachay-Cherkess Republic,2023,0.70,8.14,1.68,0.27,0.25,0.04,0.16,1.5
Republic of North Ossetia-Alania,2023,0.62,8.32,0.97,0.44,0.23,0.07,0.11,1.2
Chechen Republic,2023,0.02,2.13,0.05,0.00,0.01,0.03,0.00,0.1
Stavropol Krai,2023,1.97,25.08,2.85,1.02,0.61,0.20,0.57,3.6
Republic of Bashkortostan,2023,2.58,47.37,6.05,0.85,0.73,0.34,0.99,6.5
Mari El Republic,2023,2.78,47.80,6.84,0.77,0.84,0.42,1.46,7.
Republic of Mordovia,2023,2.23,40.54,5.56,0.76,0.55,0.32,0.81,5.6
Republic of Tatarstan,2023,2.76,50.63,6.73,0.89,0.95,0.48,1.25,7.1
Udmurt Republic,2023,3.43,56.19,8.52,0.99,0.92,0.46,1.36,8.1
Chuvash Republic,2023,2.67,41.39,7.22,0.72,0.73,0.31,1.58,6.9
Perm Krai,2023,4.12,54.98,6.18,1.16,0.94,0.54,1.19,7.4
Kirov Oblast,2023,4.29,72.28,8.01,1.33,0.92,0.42,1.74,9.1
Nizhny Novgorod Oblast,2023,4.66,50.48,5.75,1.64,1.02,0.88,1.46,7.5
Orenburg Oblast,2023,2.75,47.71,4.97,1.01,0.58,0.31,0.74,5.9
Penza Oblast,2023,2.71,50.27,4.81,0.92,0.64,0.37,1.14,6.1
Samara Oblast,2023,3.82,59.96,4.40,1.37,0.91,0.49,0.87,6.6
Saratov Oblast,2023,2.52,42.47,3.24,0.95,0.62,0.48,0.72,4.9
Ulyanovsk Oblast,2023,3.07,42.74,4.40,1.07,0.80,0.44,0.82,5.6
Kurgan Oblast,2023,2.73,66.87,4.47,0.91,0.59,0.35,0.81,6.7
Sverdlovsk Oblast,2023,5.03,71.37,5.86,1.62,1.01,0.73,1.22,8.5
Khanty–Mansi Autonomous Okrug – Yugra,2023,3.23,57.01,5.67,1.43,1.13,0.73,0.92,7.1
Yamalo-Nenets Autonomous Okrug,2023,3.95,63.87,7.55,1.78,1.65,0.51,1.11,8.8
Chelyabinsk Oblast,2023,3.83,55.78,5.09,1.34,0.80,0.58,1.08,6.9
Tyumen Oblast,2023,3.78,60.99,5.18,1.40,0.78,1.07,0.81,7.
Altai Republic,2023,2.73,54.90,6.54,0.77,0.69,0.27,0.65,6.9
Tuva Republic,2023,0.68,30.20,3.02,0.27,0.20,0.05,0.15,3.1
Republic of Khakassia,2023,2.94,82.17,4.15,1.06,0.69,0.26,0.75,7.2
Altai Krai,2023,2.42,56.24,4.52,0.80,0.56,0.32,0.62,6.
Krasnoyarsk Krai,2023,3.70,50.04,5.18,1.49,1.02,0.39,0.81,6.4
Irkutsk Oblast,2023,3.88,53.79,5.94,1.25,0.77,0.45,1.05,7.2
Kemerovo Oblast,2023,2.73,57.15,5.37,1.01,0.83,0.49,0.77,6.7
Novosibirsk Oblast,2023,3.89,53.92,4.25,1.34,0.82,0.91,0.72,6.3
Omsk Oblast,2023,3.01,44.69,3.76,1.17,0.66,0.47,0.64,5.3
Tomsk Oblast,2023,3.50,55.69,4.93,1.25,0.89,0.69,0.84,6.7
Republic of Buryatia,2023,2.18,35.57,6.76,0.43,0.52,0.25,0.55,5.9
Sakha (Yakutia) Republic,2023,2.42,44.27,6.78,1.02,0.66,0.67,0.51,6.3
Zabaykalsky Krai,2023,2.68,40.23,6.40,0.53,0.41,0.20,0.54,6.
Kamchatka Krai,2023,5.11,70.19,9.65,2.58,1.65,0.84,1.25,10.5
Primorsky Krai,2023,4.81,57.55,7.48,2.08,1.14,1.03,1.26,8.4
Khabarovsk Krai,2023,4.15,60.69,8.85,2.18,1.17,1.22,1.44,9.3
Amur Oblast,2023,3.88,73.46,8.17,1.30,0.90,0.49,1.11,9.3
Magadan Oblast,2023,4.54,54.22,11.02,2.34,1.72,0.50,1.17,10.2
Sakhalin Oblast,2023,5.25,67.39,12.21,2.67,1.39,0.97,1.50,11.4
Jewish Autonomous Oblast,2023,3.08,82.91,8.68,1.00,0.73,0.62,1.43,10.
Chukotka Autonomous Okrug,2023,3.23,50.08,10.46,1.45,1.60,0.30,0.66,8.3
